time,strain,temperature,stress,type,title,youngs,poissons
1357020.0,0.018158,,,,,,
1359648.0,0.018186,,,,,,
1362492.0,0.018211,,,,,,
1368144.0,0.018265,,,,,,
1371060.0,0.018292,,,,,,
1373076.0,0.018311,,,,,,
1376532.0,0.018336,,,,,,
1378836.0,0.018357,,,,,,
1382652.0,0.018402,,,,,,
1385316.0,0.018426,,,,,,
1390104.0,0.018473,,,,,,
1394244.0,0.018504,,,,,,
1397448.0,0.018534,,,,,,
1399536.0,0.018557,,,,,,
1402020.0,0.018581,,,,,,
1405656.0,0.018615,,,,,,
1410300.0,0.018654,,,,,,
1412532.0,0.018679,,,,,,
1415880.0,0.018712,,,,,,
1426680.0,0.018804,,,,,,
1429236.0,0.018841,,,,,,
1431504.0,0.018856,,,,,,
1438632.0,0.018925,,,,,,
1440828.0,0.018949,,,,,,
1444896.0,0.018985,,,,,,
1446984.0,0.019001,,,,,,
1449648.0,0.019027,,,,,,
1451808.0,0.019039,,,,,,
1453788.0,0.019076,,,,,,
1458000.0,0.01911,,,,,,
1460376.0,0.019129,,,,,,
1462248.0,0.019147,,,,,,
1467432.0,0.019198,,,,,,
1469232.0,0.019213,,,,,,
1471752.0,0.019232,,,,,,
1476684.0,0.019284,,,,,,
1481832.0,0.019324,,,,,,
1485432.0,0.01936,,,,,,
1487304.0,0.019375,,,,,,
1489932.0,0.0194,,,,,,
1492632.0,0.019421,,,,,,
1495944.0,0.019451,,,,,,
1497744.0,0.01947,,,,,,
1500084.0,0.01949,,,,,,
1506024.0,0.019554,,,,,,
1509084.0,0.019566,,,,,,
1511748.0,0.019595,,,,,,
1515168.0,0.019624,,,,,,
1520316.0,0.019679,,,,,,
1522440.0,0.019697,,,,,,
1524708.0,0.019722,,,,,,
1527192.0,0.019749,,,,,,
1531620.0,0.019783,,,,,,
1533600.0,0.019803,,,,,,
1536444.0,0.019829,,,,,,
1539792.0,0.01986,,,,,,
1542960.0,0.019897,,,,,,
1545156.0,0.019903,,,,,,
1547064.0,0.01993,,,,,,
1549764.0,0.019949,,,,,,
1555164.0,0.02,,,,,,
1557144.0,0.020019,,,,,,
1559736.0,0.020035,,,,,,
1561608.0,0.020047,,,,,,
1563948.0,0.02008,,,,,,
1567656.0,0.020119,,,,,,
1571076.0,0.020139,,,,,,
1575720.0,0.020191,,,,,,
1583100.0,0.020261,,,,,,
1584972.0,0.020281,,,,,,
1589832.0,0.020325,,,,,,
1592064.0,0.020343,,,,,,
1595124.0,0.020367,,,,,,
1597752.0,0.020386,,,,,,
1600524.0,0.020411,,,,,,
1602936.0,0.020435,,,,,,
1605852.0,0.020464,,,,,,
1607832.0,0.020486,,,,,,
1612728.0,0.020527,,,,,,
1617228.0,0.020562,,,,,,
1619964.0,0.0206,,,,,,
1622484.0,0.02062,,,,,,
1625868.0,0.020644,,,,,,
1628460.0,0.020674,,,,,,
1633968.0,0.020715,,,,,,
1638612.0,0.020762,,,,,,
1642248.0,0.020797,,,,,,
1644408.0,0.020812,,,,,,
1646388.0,0.020825,,,,,,
1652544.0,0.020889,,,,,,
1658484.0,0.020946,,,,,,
1661976.0,0.020967,,,,,,
1664964.0,0.020998,,,,,,
1666944.0,0.021019,,,,,,
1669896.0,0.021045,,,,,,
1671804.0,0.021048,,,,,,
1675476.0,0.021092,,,,,,
1681308.0,0.021139,,,,,,
1686600.0,0.021198,,,,,,
1690056.0,0.021219,,,,,,
1692900.0,0.021246,,,,,,
1695132.0,0.02127,,,,,,
1697040.0,0.021283,,,,,,
1699128.0,0.021304,,,,,,
1705752.0,0.021363,,,,,,
1710432.0,0.02141,,,,,,
1716732.0,0.021461,,,,,,
1719504.0,0.021486,,,,,,
1723032.0,0.021518,,,,,,
1726704.0,0.02154,,,,,,
1730844.0,0.021579,,,,,,
1734516.0,0.021615,,,,,,
1737648.0,0.021646,,,,,,
1741068.0,0.021683,,,,,,
1743696.0,0.021695,,,,,,
1747836.0,0.021733,,,,,,
1751328.0,0.021768,,,,,,
1755108.0,0.021803,,,,,,
1757952.0,0.021819,,,,,,
1760580.0,0.021845,,,,,,
1763640.0,0.02187,,,,,,
1766124.0,0.021898,,,,,,
1769472.0,0.021924,,,,,,
1775016.0,0.021972,,,,,,
1776996.0,0.021992,,,,,,
1778796.0,0.022,,,,,,
1782036.0,0.022026,,,,,,
1784016.0,0.022047,,,,,,
1786104.0,0.022065,,,,,,
1791144.0,0.022114,,,,,,
1796076.0,0.022154,,,,,,
1798776.0,0.022174,,,,,,
1800828.0,0.022193,,,,,,
1806156.0,0.022244,,,,,,
1808928.0,0.022258,,,,,,
1811340.0,0.022281,,,,,,
1814112.0,0.022303,,,,,,
1816848.0,0.02233,,,,,,
1818900.0,0.022348,,,,,,
1822464.0,0.022376,,,,,,
1825920.0,0.022406,,,,,,
1830204.0,0.022442,,,,,,
1834452.0,0.022487,,,,,,
1838016.0,0.022506,,,,,,
1840176.0,0.022527,,,,,,
1844244.0,0.022567,,,,,,
1846656.0,0.022588,,,,,,
1849968.0,0.022616,,,,,,
1852164.0,0.022634,,,,,,
1854828.0,0.02266,,,,,,
1857528.0,0.022678,,,,,,
1863396.0,0.022729,,,,,,
1867392.0,0.022772,,,,,,
1869372.0,0.022785,,,,,,
1873908.0,0.022825,,,,,,
1876140.0,0.022839,,,,,,
1879092.0,0.022868,,,,,,
1882404.0,0.022897,,,,,,
1885860.0,0.022926,,,,,,
1887804.0,0.022935,,,,,,
1890684.0,0.022972,,,,,,
1896192.0,0.02302,,,,,,
1898604.0,0.023044,,,,,,
1901556.0,0.023056,,,,,,
1904724.0,0.023086,,,,,,
1906668.0,0.023104,,,,,,
1910088.0,0.02313,,,,,,
1914768.0,0.023169,,,,,,
1917000.0,0.023186,,,,,,
1921536.0,0.023222,,,,,,
1924092.0,0.023251,,,,,,
1928088.0,0.023281,,,,,,
1930788.0,0.023298,,,,,,
1935720.0,0.023343,,,,,,
1940544.0,0.023383,,,,,,
1944720.0,0.023423,,,,,,
1948644.0,0.023456,,,,,,
1950696.0,0.023469,,,,,,
1955124.0,0.023517,,,,,,
1958184.0,0.023538,,,,,,
1960524.0,0.023551,,,,,,
1963944.0,0.023595,,,,,,
1970388.0,0.02364,,,,,,
1974240.0,0.023677,,,,,,
1978740.0,0.02372,,,,,,
1981152.0,0.023737,,,,,,
1985112.0,0.023768,,,,,,
1987308.0,0.023785,,,,,,
1990008.0,0.023812,,,,,,
1992672.0,0.023828,,,,,,
1995120.0,0.023844,,,,,,
1996992.0,0.023871,,,,,,
1999080.0,0.023893,,,,,,
2005164.0,0.023936,,,,,,
2008764.0,0.02396,,,,,,
2012724.0,0.023996,,,,,,
2015496.0,0.024019,,,,,,
2018124.0,0.024034,,,,,,
2020428.0,0.024041,,,,,,
2024856.0,0.024087,,,,,,
2026800.0,0.024105,,,,,,
2028636.0,0.024121,,,,,,
2036376.0,0.024186,,,,,,
2038968.0,0.024205,,,,,,
2043288.0,0.024247,,,,,,
2046168.0,0.024265,,,,,,
2048292.0,0.024282,,,,,,
2050740.0,0.024304,,,,,,
2055672.0,0.024347,,,,,,
2059956.0,0.02439,,,,,,
2063232.0,0.024415,,,,,,
2068884.0,0.024459,,,,,,
2071944.0,0.02448,,,,,,
2074644.0,0.024512,,,,,,
2076768.0,0.024521,,,,,,
2080296.0,0.024554,,,,,,
2084256.0,0.024594,,,,,,
2087316.0,0.024615,,,,,,
2091960.0,0.024659,,,,,,
2094120.0,0.024673,,,,,,
2098368.0,0.024705,,,,,,
2100852.0,0.024716,,,,,,
2106720.0,0.024764,,,,,,
2110824.0,0.02482,,,,,,
2114964.0,0.024838,,,,,,
2118456.0,0.024874,,,,,,
2123172.0,0.02491,,,,,,
2126592.0,0.024935,,,,,,
2128896.0,0.02495,,,,,,
2132676.0,0.024986,,,,,,
2136708.0,0.025017,,,,,,
2140920.0,0.025055,,,,,,
2143476.0,0.025068,,,,,,
2145600.0,0.025102,,,,,,
2150388.0,0.025134,,,,,,
2152800.0,0.025147,,,,,,
2155608.0,0.025175,,,,,,
2158308.0,0.025197,,,,,,
2160828.0,0.02521,,,,,,
2163492.0,0.025232,,,,,,
2167560.0,0.025268,,,,,,
2173824.0,0.025318,,,,,,
2177496.0,0.025356,,,,,,
2179764.0,0.02537,,,,,,
2181852.0,0.02539,,,,,,
2184624.0,0.025413,,,,,,
2187684.0,0.025438,,,,,,
2189916.0,0.025448,,,,,,
2192796.0,0.025474,,,,,,
2195676.0,0.025505,,,,,,
2198520.0,0.025525,,,,,,
2204496.0,0.02557,,,,,,
2211120.0,0.025625,,,,,,
2214288.0,0.025657,,,,,,
2216448.0,0.025668,,,,,,
2221164.0,0.02571,,,,,,
2225484.0,0.025743,,,,,,
2228184.0,0.025772,,,,,,
2231424.0,0.025792,,,,,,
2236212.0,0.025826,,,,,,
2239596.0,0.025856,,,,,,
2242044.0,0.025868,,,,,,
2245068.0,0.025897,,,,,,
2247768.0,0.02592,,,,,,
2254536.0,0.025974,,,,,,
2258208.0,0.02601,,,,,,
2261916.0,0.026026,,,,,,
2267388.0,0.026076,,,,,,
2271528.0,0.026109,,,,,,
2277000.0,0.026157,,,,,,
2281644.0,0.026186,,,,,,
2286540.0,0.026233,,,,,,
2288664.0,0.02624,,,,,,
2295756.0,0.026292,,,,,,
2298024.0,0.026313,,,,,,
2301264.0,0.026345,,,,,,
2303136.0,0.026363,,,,,,
2305224.0,0.02638,,,,,,
2308824.0,0.026406,,,,,,
2313648.0,0.026451,,,,,,
2317968.0,0.026478,,,,,,
2321136.0,0.026507,,,,,,
2323440.0,0.026517,,,,,,
2326968.0,0.026551,,,,,,
2329920.0,0.026573,,,,,,
2332152.0,0.026594,,,,,,
2334492.0,0.02661,,,,,,
2336652.0,0.026626,,,,,,
2339424.0,0.026653,,,,,,
2343744.0,0.026685,,,,,,
2346876.0,0.026709,,,,,,
2351736.0,0.026749,,,,,,
2354832.0,0.026778,,,,,,
2357208.0,0.026794,,,,,,
2362248.0,0.02683,,,,,,
2364876.0,0.026864,,,,,,
2366964.0,0.026876,,,,,,
2370348.0,0.026904,,,,,,
2372616.0,0.026916,,,,,,
2375460.0,0.026945,,,,,,
2378160.0,0.026968,,,,,,
2382552.0,0.027002,,,,,,
2385000.0,0.027024,,,,,,
2387952.0,0.027048,,,,,,
2390940.0,0.027071,,,,,,
2393892.0,0.027094,,,,,,
2396412.0,0.027106,,,,,,
2400480.0,0.027142,,,,,,
2403792.0,0.027167,,,,,,
2407392.0,0.027195,,,,,,
2411244.0,0.027228,,,,,,
2416248.0,0.027265,,,,,,
2418984.0,0.027296,,,,,,
2421864.0,0.027314,,,,,,
2423844.0,0.027333,,,,,,
2426040.0,0.027353,,,,,,
2428956.0,0.027372,,,,,,
2432448.0,0.0274,,,,,,
2436660.0,0.027432,,,,,,
2438568.0,0.027438,,,,,,
2440620.0,0.027453,,,,,,
2443968.0,0.027487,,,,,,
2446020.0,0.0275,,,,,,
