time,stress,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,4.66602,25,cyclic-time-stress,cyclic-time-stress,0.015,4.30E-04,195600,0.29
48.6368,-192.70803,,,,,,,,
48.7368,-194.03322,,,,,,,,
48.8368,-195.2025,,,,,,,,
48.9368,-196.29381,,,,,,,,
49.0368,-197.85285,,,,,,,,
49.1368,-198.94419,,,,,,,,
49.2368,-199.80166,,,,,,,,
49.3368,-200.97094,,,,,,,,
49.4368,-202.29612,,,,,,,,
49.5368,-203.23156,,,,,,,,
49.6368,-204.55672,,,,,,,,
49.7368,-205.88191,,,,,,,,
49.8368,-206.42756,,,,,,,,
49.9368,-207.83069,,,,,,,,
50.0368,-208.7661,,,,,,,,
50.1368,-209.93541,,,,,,,,
50.2368,-210.55903,,,,,,,,
50.3368,-211.49444,,,,,,,,
50.4368,-212.66372,,,,,,,,
50.5368,-213.75504,,,,,,,,
50.6368,-214.92432,,,,,,,,
50.7368,-215.93769,,,,,,,,
50.8368,-216.95107,,,,,,,,
50.9368,-217.65263,,,,,,,,
51.0368,-218.58804,,,,,,,,
51.1368,-219.67938,,,,,,,,
51.2368,-220.61481,,,,,,,,
51.3368,-221.39432,,,,,,,,
51.4368,-223.10928,,,,,,,,
51.5368,-224.27854,,,,,,,,
51.6368,-225.21395,,,,,,,,
51.7368,-225.83757,,,,,,,,
51.8368,-226.6171,,,,,,,,
51.9368,-227.00684,,,,,,,,
52.0368,-228.17614,,,,,,,,
52.1368,-228.8777,,,,,,,,
52.2368,-229.42335,,,,,,,,
52.3368,-229.65719,,,,,,,,
52.4368,-230.98238,,,,,,,,
52.5368,-232.22961,,,,,,,,
52.6368,-233.32095,,,,,,,,
52.7368,-233.8666,,,,,,,,
52.8368,-234.02254,,,,,,,,
52.9368,-234.95794,,,,,,,,
53.0368,-235.42564,,,,,,,,
53.1368,-236.28311,,,,,,,,
53.2368,-237.29649,,,,,,,,
53.3368,-238.23192,,,,,,,,
53.4368,-238.85551,,,,,,,,
53.5368,-239.55711,,,,,,,,
53.6368,-240.10276,,,,,,,,
53.7368,-240.72639,,,,,,,,
53.8368,-241.58386,,,,,,,,
53.9368,-242.05155,,,,,,,,
54.0368,-242.44131,,,,,,,,
54.1368,-243.22085,,,,,,,,
54.2368,-243.92239,,,,,,,,
54.3368,-244.54602,,,,,,,,
54.4368,-245.24758,,,,,,,,
54.5368,-245.8712,,,,,,,,
54.6368,-246.49481,,,,,,,,
54.7368,-247.19637,,,,,,,,
54.8368,-247.43024,,,,,,,,
54.9368,-248.20975,,,,,,,,
55.0368,-248.52158,,,,,,,,
55.1368,-249.45698,,,,,,,,
55.2368,-249.45698,,,,,,,,
55.3368,-250.2365,,,,,,,,
55.4368,-250.70422,,,,,,,,
55.5368,-251.01602,,,,,,,,
55.6368,-251.7176,,,,,,,,
55.7368,-252.10734,,,,,,,,
55.8368,-252.96481,,,,,,,,
55.9368,-253.35457,,,,,,,,
56.0368,-253.58842,,,,,,,,
56.1368,-254.13411,,,,,,,,
56.2368,-254.67973,,,,,,,,
56.3368,-255.14747,,,,,,,,
56.4368,-255.84903,,,,,,,,
56.5368,-256.0829,,,,,,,,
56.6368,-256.62857,,,,,,,,
56.7368,-257.25215,,,,,,,,
56.8368,-257.71989,,,,,,,,
56.9368,-258.34352,,,,,,,,
57.0368,-258.49939,,,,,,,,
57.1368,-259.12301,,,,,,,,
57.2368,-259.5907,,,,,,,,
57.3368,-260.1364,,,,,,,,
57.4368,-260.44818,,,,,,,,
57.5368,-260.83796,,,,,,,,
57.6368,-261.22772,,,,,,,,
57.7368,-261.77339,,,,,,,,
57.8368,-261.69543,,,,,,,,
57.9368,-262.39701,,,,,,,,
58.0368,-263.0206,,,,,,,,
58.1368,-263.25449,,,,,,,,
58.2368,-263.87805,,,,,,,,
58.3368,-264.03396,,,,,,,,
58.4368,-264.57965,,,,,,,,
58.5368,-264.57965,,,,,,,,
58.6368,-265.20326,,,,,,,,
58.7368,-265.35915,,,,,,,,
58.8368,-265.51506,,,,,,,,
58.9368,-265.98277,,,,,,,,
59.0368,-266.29458,,,,,,,,
59.1368,-266.84025,,,,,,,,
59.2368,-267.07409,,,,,,,,
59.3368,-267.77568,,,,,,,,
59.4368,-268.00952,,,,,,,,
59.5368,-268.32132,,,,,,,,
59.6368,-268.63315,,,,,,,,
59.7368,-268.63315,,,,,,,,
59.8368,-269.4906,,,,,,,,
59.9368,-270.03627,,,,,,,,
60.0368,-269.72447,,,,,,,,
60.1368,-270.73783,,,,,,,,
60.2368,-270.65988,,,,,,,,
60.3368,-271.20555,,,,,,,,
