time,strain,temp,type,title,max_strain,strain_rate,youngs,poissons
0.2366,1.71E-06,25,cyclic-time-strain,cyclic-time-strain,0.015,4.30E-04,157000,0.3
71.337,2.50E-04,,,,,,,,
71.437,2.08E-04,,,,,,,,
71.537,1.53E-04,,,,,,,,
71.63699,1.19E-04,,,,,,,,
71.73699,9.81E-05,,,,,,,,
71.837,2.24E-05,,,,,,,,
71.9368,8.59E-06,,,,,,,,
72.037,-5.34E-05,,,,,,,,
72.13699,-8.09E-05,,,,,,,,
72.23699,-1.43E-04,,,,,,,,
72.337,-1.70E-04,,,,,,,,
72.437,-2.12E-04,,,,,,,,
72.537,-2.53E-04,,,,,,,,
72.63699,-2.88E-04,,,,,,,,
72.73699,-3.50E-04,,,,,,,,
72.837,-3.77E-04,,,,,,,,
72.937,-4.18E-04,,,,,,,,
73.037,-4.46E-04,,,,,,,,
73.13699,-5.01E-04,,,,,,,,
73.23699,-5.35E-04,,,,,,,,
73.337,-5.49E-04,,,,,,,,
73.437,-6.46E-04,,,,,,,,
73.537,-6.66E-04,,,,,,,,
73.63699,-7.01E-04,,,,,,,,
73.73699,-7.49E-04,,,,,,,,
73.837,-7.97E-04,,,,,,,,
73.937,-8.59E-04,,,,,,,,
74.037,-8.73E-04,,,,,,,,
74.13699,-9.56E-04,,,,,,,,
74.23699,-9.69E-04,,,,,,,,
74.337,-0.00102,,,,,,,,
74.437,-0.00107,,,,,,,,
74.537,-0.0011,,,,,,,,
74.63699,-0.00117,,,,,,,,
74.73699,-0.00118,,,,,,,,
74.837,-0.00123,,,,,,,,
74.937,-0.00126,,,,,,,,
75.037,-0.00131,,,,,,,,
75.13699,-0.00135,,,,,,,,
75.23699,-0.00139,,,,,,,,
75.337,-0.00142,,,,,,,,
