strain,stress,temp,type,title,max_strain,strain_rate
0.01081,-157.0061,,,,,
0.01073,-158.95489,,,,,
0.01072,-160.66983,,,,,
0.01066,-162.07297,,,,,
0.01063,-163.78791,,,,,
0.01059,-165.269,,,,,
0.01053,-166.90599,,,,,
0.01053,-168.38707,,,,,
0.01047,-169.55635,,,,,
0.01042,-171.66104,,,,,
0.01038,-172.75238,,,,,
0.01035,-174.77912,,,,,
0.01031,-176.02634,,,,,
0.01026,-177.66334,,,,,
0.01023,-178.91056,,,,,
0.01018,-180.07984,,,,,
0.01014,-182.02865,,,,,
0.0101,-183.19792,,,,,
0.01005,-184.83491,,,,,
0.01001,-186.16009,,,,,
0.00997,-187.25143,,,,,
0.00991,-188.96637,,,,,
0.00988,-190.05768,,,,,
0.00986,-191.46081,,,,,
0.00979,-192.70803,,,,,
0.00975,-194.03322,,,,,
0.00973,-195.2025,,,,,
0.00968,-196.29381,,,,,
0.00964,-197.85285,,,,,
0.0096,-198.94419,,,,,
0.00956,-199.80166,,,,,
0.00951,-200.97094,,,,,
0.00947,-202.29612,,,,,
0.00943,-203.23156,,,,,
0.00941,-204.55672,,,,,
0.00935,-205.88191,,,,,
0.00931,-206.42756,,,,,
0.00928,-207.83069,,,,,
0.00923,-208.7661,,,,,
0.00917,-209.93541,,,,,
0.00914,-210.55903,,,,,
0.00911,-211.49444,,,,,
0.00905,-212.66372,,,,,
0.00902,-213.75504,,,,,
0.00897,-214.92432,,,,,
0.00893,-215.93769,,,,,
0.00891,-216.95107,,,,,
0.00883,-217.65263,,,,,
0.00882,-218.58804,,,,,
0.00876,-219.67938,,,,,
0.00873,-220.61481,,,,,
0.00869,-221.39432,,,,,
0.00865,-223.10928,,,,,
0.0086,-224.27854,,,,,
0.00853,-225.21395,,,,,
0.00851,-225.83757,,,,,
0.00846,-226.6171,,,,,
0.00841,-227.00684,,,,,
0.00838,-228.17614,,,,,
0.00833,-228.8777,,,,,
0.0083,-229.42335,,,,,
0.00826,-229.65719,,,,,
0.0082,-230.98238,,,,,
0.00819,-232.22961,,,,,
0.00813,-233.32095,,,,,
0.00809,-233.8666,,,,,
0.00803,-234.02254,,,,,
0.00801,-234.95794,,,,,
0.00798,-235.42564,,,,,
0.00793,-236.28311,,,,,
0.00787,-237.29649,,,,,
0.00784,-238.23192,,,,,
0.00779,-238.85551,,,,,
0.00771,-239.55711,,,,,
0.0077,-240.10276,,,,,
0.00766,-240.72639,,,,,
0.00761,-241.58386,,,,,
0.00756,-242.05155,,,,,
0.00752,-242.44131,,,,,
0.00749,-243.22085,,,,,
0.00745,-243.92239,,,,,
0.0074,-244.54602,,,,,
0.00736,-245.24758,,,,,
0.0073,-245.8712,,,,,
0.00729,-246.49481,,,,,
0.00724,-247.19637,,,,,
0.00719,-247.43024,,,,,
0.00716,-248.20975,,,,,
0.00712,-248.52158,,,,,
0.00707,-249.45698,,,,,
0.00703,-249.45698,,,,,
0.00701,-250.2365,,,,,
0.00694,-250.70422,,,,,
0.00691,-251.01602,,,,,
0.00687,-251.7176,,,,,
0.00683,-252.10734,,,,,
0.00679,-252.96481,,,,,
0.00674,-253.35457,,,,,
0.0067,-253.58842,,,,,
0.00665,-254.13411,,,,,
0.00661,-254.67973,,,,,
0.00657,-255.14747,,,,,
0.00654,-255.84903,,,,,
0.00649,-256.0829,,,,,
0.00645,-256.62857,,,,,
0.00639,-257.25215,,,,,
0.00637,-257.71989,,,,,
0.00632,-258.34352,,,,,
0.00629,-258.49939,,,,,
0.00625,-259.12301,,,,,
0.0062,-259.5907,,,,,
0.00613,-260.1364,,,,,
0.0061,-260.44818,,,,,
0.00607,-260.83796,,,,,
0.00601,-261.22772,,,,,
0.00597,-261.77339,,,,,
0.00594,-261.69543,,,,,
0.00592,-262.39701,,,,,
0.00586,-263.0206,,,,,
0.00581,-263.25449,,,,,
0.00578,-263.87805,,,,,
0.00573,-264.03396,,,,,
0.0057,-264.57965,,,,,
0.00565,-264.57965,,,,,
0.00563,-265.20326,,,,,
0.00557,-265.35915,,,,,
0.00552,-265.51506,,,,,
0.00551,-265.98277,,,,,
0.00545,-266.29458,,,,,
0.00539,-266.84025,,,,,
0.00537,-267.07409,,,,,
0.00531,-267.77568,,,,,
0.00527,-268.00952,,,,,
0.00521,-268.32132,,,,,
0.00519,-268.63315,,,,,
0.00517,-268.63315,,,,,
0.0051,-269.4906,,,,,
0.00505,-270.03627,,,,,
0.00502,-269.72447,,,,,
0.00496,-270.73783,,,,,
0.00493,-270.65988,,,,,
0.00489,-271.20555,,,,,
0.00484,-271.2835,,,,,
0.0048,-271.98506,,,,,
0.00475,-271.75122,,,,,
0.0047,-272.29687,,,,,
0.00468,-272.3748,,,,,
0.00464,-272.53073,,,,,
0.00458,-273.31027,,,,,
0.00455,-273.31027,,,,,
0.00451,-273.46614,,,,,
0.00447,-273.54412,,,,,
0.00442,-274.01181,,,,,
0.0044,-274.40157,,,,,
0.00436,-274.55748,,,,,
0.00431,-274.79133,,,,,
0.00424,-275.18109,,,,,
0.0042,-275.49289,,,,,
0.00419,-275.6488,,,,,
0.00414,-275.88267,,,,,
0.00409,-276.19445,,,,,
0.00405,-276.50627,,,,,
0.004,-276.89603,,,,,
0.00396,-277.1299,,,,,
0.00389,-277.59762,,,,,
0.00388,-277.59762,,,,,
0.00384,-278.06531,,,,,
0.00378,-278.14324,,,,,
0.00374,-278.29918,,,,,
0.00372,-278.61096,,,,,
0.00367,-278.68894,,,,,
0.00362,-279.00071,,,,,
0.00358,-279.3905,,,,,
0.00354,-279.54639,,,,,
0.00349,-280.17001,,,,,
0.00345,-280.24797,,,,,
0.00341,-280.24797,,,,,
0.00337,-280.17001,,,,,
0.00333,-280.48181,,,,,
0.00328,-280.55977,,,,,
0.00325,-281.49518,,,,,
0.00322,-281.26133,,,,,
0.00315,-281.26133,,,,,
0.00314,-281.41724,,,,,
0.00309,-281.41724,,,,,
0.00304,-282.04087,,,,,
0.00299,-282.27472,,,,,
0.00296,-282.50859,,,,,
0.00293,-282.35265,,,,,
0.00285,-282.89832,,,,,
0.00284,-282.89832,,,,,
0.00278,-283.67784,,,,,
0.00273,-283.83375,,,,,
0.0027,-283.98964,,,,,
0.00263,-284.0676,,,,,
0.00263,-283.83375,,,,,
0.00256,-284.6912,,,,,
0.00252,-284.6912,,,,,
0.00247,-285.31483,,,,,
0.00243,-285.15894,,,,,
0.00243,-285.31483,,,,,
0.00235,-285.62663,,,,,
0.00231,-285.47074,,,,,
0.00227,-285.8605,,,,,
0.00223,-285.8605,,,,,
0.00218,-286.09437,,,,,
0.00216,-286.1723,,,,,
0.0021,-286.48408,,,,,
0.00206,-286.79593,,,,,
0.00203,-286.25024,,,,,
0.002,-287.18569,,,,,
0.00193,-287.02977,,,,,
0.00192,-287.49749,,,,,
0.00184,-287.18569,,,,,
0.00181,-287.41953,,,,,
0.00176,-287.57542,,,,,
0.00174,-287.80929,,,,,
0.00169,-288.27701,,,,,
0.00165,-288.4329,,,,,
0.00163,-288.74472,,,,,
0.00157,-288.58881,,,,,
0.00151,-288.90061,,,,,
0.00147,-289.13448,,,,,
0.00143,-289.36833,,,,,
0.00139,-289.36833,,,,,
0.00136,-289.68013,,,,,
0.00131,-289.99195,,,,,
0.00125,-289.91397,,,,,
0.0012,-290.38171,,,,,
0.00119,-290.45964,,,,,
0.00112,-290.61556,,,,,
0.00109,-290.61556,,,,,
0.00106,-290.77145,,,,,
0.00104,-290.84943,,,,,
9.87E-04,-291.08327,,,,,
9.11E-04,-291.00534,,,,,
8.97E-04,-291.1612,,,,,
8.49E-04,-291.7069,,,,,
8.07E-04,-291.55096,,,,,
7.45E-04,-291.86281,,,,,
7.39E-04,-291.7069,,,,,
6.77E-04,-292.09666,,,,,
6.15E-04,-292.01868,,,,,
5.80E-04,-292.17459,,,,,
5.60E-04,-292.48639,,,,,
5.25E-04,-292.56437,,,,,
4.56E-04,-292.87615,,,,,
4.22E-04,-292.79822,,,,,
