strain,stress,temp,type,title,medium,strain_rate,youngs,poissons
0.006053838,199.6047245,,,,,,,
0.006062486,200.2100991,,,,,,,
0.00606835,200.8149253,,,,,,,
0.006076998,201.4203191,,,,,,,
0.006085744,201.925133,,,,,,,
0.006091509,202.5299631,,,,,,,
0.006100256,203.1354059,,,,,,,
0.006108903,203.740839,,,,,,,
0.006114767,204.2451005,,,,,,,
0.006123414,204.7499377,,,,,,,
0.00613216,205.3554191,,,,,,,
0.006137924,205.960297,,,,,,,
0.00614667,206.4651811,,,,,,,
0.006198847,205.9728451,,,,,,,
0.006207494,206.4777394,,,,,,,
0.006216239,206.8820394,,,,,,,
0.006224885,207.3869502,,,,,,,
0.00623363,207.9925158,,,,,,,
0.006239394,208.4968441,,,,,,,
0.00624814,209.0018013,,,,,,,
0.006256785,209.5067465,,,,,,,
0.006265531,210.0117212,,,,,,,
0.006755431,199.6441369,,,,,,,
0.006767052,200.149852,,,,,,,
0.006772813,200.7550825,,,,,,,
0.006781553,201.2602395,,,,,,,
0.006787314,201.8654852,,,,,,,
0.006796054,202.3706592,,,,,,,
0.006801815,202.97592,,,,,,,
0.006810555,203.6824777,,,,,,,
0.006819196,204.187659,,,,,,,
0.006825056,204.6922797,,,,,,,
0.006833697,205.2981627,,,,,,,
0.006839457,205.8027768,,,,,,,
0.006848197,206.4086985,,,,,,,
0.006853958,206.9133263,,,,,,,
0.006862698,207.5192664,,,,,,,
0.006871338,208.1251965,,,,,,,
0.006877198,208.7305566,,,,,,,
0.006885838,209.2358149,,,,,,,
0.006894578,209.8417946,,,,,,,
0.006903218,210.3470712,,,,,,,
0.006911957,210.8523775,,,,,,,
0.007337812,201.7751694,,,,,,,
0.007343669,202.2800366,,,,,,,
0.007352305,202.8862112,,,,,,,
0.007361041,203.3916776,,,,,,,
0.007366798,203.997285,,,,,,,
0.007375534,204.5027684,,,,,,,
0.00738417,205.1089814,,,,,,,
0.007389927,205.6138709,,,,,,,
0.007398662,206.2201227,,,,,,,
0.00740442,206.7250259,,,,,,,
0.007418912,207.836213,,,,,,,
0.007427647,208.4425016,,,,,,,
0.007436282,209.04878,,,,,,,
0.007445017,209.6550897,,,,,,,
0.007453652,210.1606409,,,,,,,
0.007459509,210.6656153,,,,,,,
0.007468144,211.2719322,,,,,,,
0.007476878,211.77753,,,,,,,
0.007485514,212.2831155,,,,,,,
0.00794307,202.3005223,,,,,,,
0.007951701,203.0078568,,,,,,,
0.007960432,203.5136252,,,,,,,
0.007966186,204.119595,,,,,,,
0.007974916,204.6253804,,,,,,,
0.007983547,205.1311542,,,,,,,
0.0079894,205.7371677,,,,,,,
0.00799803,206.3437615,,,,,,,
0.008009637,206.8501774,,,,,,,
0.008015391,207.4561961,,,,,,,
0.00802412,207.9620353,,,,,,,
0.008032751,208.5686692,,,,,,,
0.00804148,209.1753343,,,,,,,
0.008050111,209.6811808,,,,,,,
0.00805884,210.287866,,,,,,,
0.00806747,210.8945409,,,,,,,
0.0080762,211.4004363,,,,,,,
0.008081953,211.9057099,,,,,,,
0.008090682,212.5124338,,,,,,,
0.008099312,213.0183339,,,,,,,
0.008183325,211.8263707,,,,,,,
0.008452378,205.4290463,,,,,,,
0.00846973,206.4411168,,,,,,,
0.008478456,206.9471754,,,,,,,
0.008484207,207.5534777,,,,,,,
0.008492933,208.0595533,,,,,,,
0.008501559,208.6664708,,,,,,,
0.008510285,209.1725648,,,,,,,
0.008518911,209.7795024,,,,,,,
0.008527636,210.2856149,,,,,,,
0.008536262,210.8925725,,,,,,,
0.008544987,211.3987034,,,,,,,
0.008556588,211.9054523,,,,,,,
0.008565214,212.4115812,,,,,,,
0.008573939,213.018601,,,,,,,
0.008582564,213.6256101,,,,,,,
0.008591289,214.1317881,,,,,,,
0.008599915,214.6379536,,,,,,,
0.008660688,214.0457793,,,,,,,
0.008669412,214.5520002,,,,,,,
0.008680912,215.0588268,,,,,,,
0.008689636,215.5650668,,,,,,,
0.00869826,216.071294,,,,,,,
0.008967274,209.77268,,,,,,,
0.008975995,210.2790178,,,,,,,
0.008984617,210.7853434,,,,,,,
0.008993338,211.3926021,,,,,,,
0.009001961,211.898946,,,,,,,
0.009010682,212.4053197,,,,,,,
0.009019304,213.0125871,,,,,,,
0.009028024,213.5189792,,,,,,,
