time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0.605078125,0.0001953125,-0.079263400285923,-0.078285697220052,164.48625737757,-0.00023413106589759,-0.00023412504213462,0.00077977972562474,-0.014516837866449,-0.014996040162326,0.029824401646367,-0.014516837866449,-0.014996040162326,0.029824401646367,1609870,81880,140,5
0.6052734375,0.0001953125,-0.079302856747694,-0.078324854523648,164.48904338575,-0.00023413515837022,-0.0002341291327641,0.00077979304122813,-0.014521525412423,-0.015000826716292,0.029833880878809,-0.014521525412423,-0.015000826716292,0.029833880878809,1609870,81880,146,5
0.60546875,0.0001953125,-0.079342300949549,-0.078363932269641,164.49182685459,-0.00023413924728742,-0.00023413321942351,0.00077980634466613,-0.014526212930335,-0.015005613210193,0.029843360018483,-0.014526212930335,-0.015005613210193,0.029843360018483,1609870,81880,146,5
0.6056640625,0.0001953125,-0.07938176728642,-0.078402941866913,164.49460741123,-0.00023414333226585,-0.00023413730158791,0.00077981963423683,-0.014530900419207,-0.015010399643719,0.029852839063309,-0.014530900419207,-0.015010399643719,0.029852839063309,1609870,81880,150,5
0.605859375,0.0001953125,-0.079421239053723,-0.07844211671502,164.49738361407,-0.00023414741084483,-0.00023414137833753,0.0007798329034161,-0.014535587875537,-0.015015186015478,0.029862318005249,-0.014535587875537,-0.015015186015478,0.029862318005249,1609870,81880,145,5
0.6060546875,0.0001953125,-0.079460696344718,-0.078481264171534,164.50015930837,-0.00023415148867111,-0.00023414545425488,0.00077984617012571,-0.014540275306939,-0.015019972331217,0.029871796865357,-0.014540275306939,-0.015019972331217,0.029871796865357,1609870,81880,140,5
0.60625,0.0001953125,-0.079500182784972,-0.078520388976192,164.50293005122,-0.00023415555962776,-0.00023414952298344,0.00077985941337794,-0.014544962705157,-0.015024758583556,0.02988127561948,-0.014544962705157,-0.015024758583556,0.02988127561948,1609870,81880,138,5
0.6064453125,0.0001953125,-0.079539638733825,-0.078559414510473,164.50570008393,-0.00023415962957137,-0.00023415359027521,0.00077987265308009,-0.014549650078196,-0.015029544779122,0.029890754290551,-0.014549650078196,-0.015029544779122,0.029890754290551,1609870,81880,143,5
0.606640625,0.0001953125,-0.079579122769951,-0.078598389555334,164.50846641371,-0.00023416369445506,-0.00023415765202293,0.00077988587520101,-0.014554337420992,-0.015034330913034,0.029900232862749,-0.014554337420992,-0.015034330913034,0.029900232862749,1609870,81880,149,5
0.6068359375,0.0001953125,-0.079618611340132,-0.078637601131498,164.51122958191,-0.00023416775452878,-0.00023416171039005,0.00077989908268079,-0.014559024733588,-0.015039116987778,0.029909711339128,-0.014559024733588,-0.015039116987778,0.029909711339128,1609870,81880,154,5
0.60703125,0.0001953125,-0.079658105133574,-0.078676721445647,164.5139902553,-0.0002341718112099,-0.00023416576477012,0.00077991227821457,-0.014563712017428,-0.015043903003152,0.029919189722814,-0.014563712017428,-0.015043903003152,0.029919189722814,1609870,81880,144,5
0.6072265625,0.0001953125,-0.079697603849085,-0.078715793767255,164.5167476701,-0.00023417586334952,-0.00023416981428267,0.00077992545824354,-0.014568399271055,-0.015048688957928,0.029928668009595,-0.014568399271055,-0.015048688957928,0.029928668009595,1609870,81880,143,5
0.607421875,0.0001953125,-0.079737108582536,-0.078755049066508,164.5195019392,-0.00023417991078494,-0.00023417386018128,0.00077993862363267,-0.014573086493969,-0.015053474853409,0.029938146200045,-0.014573086493969,-0.015053474853409,0.029938146200045,1609870,81880,149,5
0.6076171875,0.0001953125,-0.079776606719891,-0.078793987558929,164.52225363733,-0.00023418395498413,-0.00023417790093243,0.00077995177637733,-0.014577773688148,-0.015058260688027,0.029947624296635,-0.014577773688148,-0.015058260688027,0.029947624296635,1609870,81880,152,5
0.6078125,0.0001953125,-0.079816100256424,-0.078833351850977,164.52500312945,-0.00023418799541961,-0.00023418194057161,0.0007799649192658,-0.014582460854171,-0.015063046465498,0.029957102302943,-0.014582460854171,-0.015063046465498,0.029957102302943,1609870,81880,155,5
0.6080078125,0.0001953125,-0.079855620906405,-0.078872329719423,164.52774958359,-0.00023419203221359,-0.00023418597402144,0.00077997804724539,-0.014587147991096,-0.015067832180939,0.029966580213045,-0.014587147991096,-0.015067832180939,0.029966580213045,1609870,81880,149,5
0.608203125,0.0001953125,-0.079895150655443,-0.078911519265684,164.53049310079,-0.00023419606457399,-0.00023419000428581,0.00077999116161975,-0.014591835098603,-0.015072617837068,0.029976058028431,-0.014591835098603,-0.015072617837068,0.029976058028431,1609870,81880,145,5
0.6083984375,0.0001953125,-0.079934688821023,-0.078950718769711,164.53323319302,-0.0002342000920905,-0.00023419402971578,0.00078000425978813,-0.014596522175865,-0.015077403431948,0.029985535745795,-0.014596522175865,-0.015077403431948,0.029985535745795,1609870,81880,139,5
0.60859375,0.0001953125,-0.079974213956006,-0.078989781169213,164.53597115333,-0.00023420411670903,-0.00023419805148333,0.0007800173476392,-0.014601209225006,-0.015082188967416,0.029995013371869,-0.014601209225006,-0.015082188967416,0.029995013371869,1609870,81880,143,5
0.6087890625,0.0001953125,-0.080013750491744,-0.079028852457091,164.5387061607,-0.00023420813717045,-0.00023420206907829,0.00078003042152409,-0.014605896244174,-0.015086974443235,0.030004490902684,-0.014605896244174,-0.015086974443235,0.030004490902684,1609870,81880,150,5
