x,y,type,temp,stress
120.04,0.03879,,,
120.41,0.03885,,,
120.64,0.0389,,,
120.71,0.03896,,,
120.88,0.03901,,,
121.01,0.03907,,,
121.38,0.03912,,,
121.49,0.03917,,,
121.71,0.03923,,,
121.91,0.03928,,,
122.19,0.03933,,,
122.36,0.03939,,,
122.51,0.03944,,,
122.68,0.03949,,,
122.85,0.03955,,,
123.05,0.0396,,,
123.33,0.03965,,,
123.45,0.0397,,,
123.63,0.03976,,,
123.8,0.03981,,,
123.96,0.03986,,,
124.1,0.03991,,,
124.2,0.03996,,,
124.48,0.04001,,,
124.61,0.04006,,,
124.75,0.04011,,,
124.88,0.04016,,,
125.28,0.0402,,,
125.4,0.04025,,,
125.6,0.0403,,,
125.78,0.04035,,,
125.98,0.0404,,,
126.13,0.04045,,,
126.23,0.0405,,,
126.35,0.04055,,,
126.65,0.0406,,,
126.77,0.04064,,,
126.92,0.04069,,,
127.1,0.04074,,,
127.28,0.04079,,,
127.57,0.04084,,,
127.85,0.04089,,,
127.93,0.04095,,,
127.95,0.041,,,
127.97,0.04105,,,
128.27,0.0411,,,
128.5,0.04115,,,
128.82,0.0412,,,
129.27,0.04125,,,
129.49,0.0413,,,
129.75,0.04135,,,
129.85,0.04141,,,
129.97,0.04146,,,
130.1,0.04151,,,
130.3,0.04156,,,
130.4,0.04161,,,
130.57,0.04167,,,
130.72,0.04172,,,
130.89,0.04177,,,
131.14,0.04182,,,
131.25,0.04188,,,
131.49,0.04193,,,
131.69,0.04198,,,
131.92,0.04203,,,
132.14,0.04209,,,
132.4,0.04214,,,
132.67,0.04219,,,
132.79,0.04224,,,
133.02,0.04229,,,
133.19,0.04234,,,
133.41,0.04239,,,
133.62,0.04244,,,
133.76,0.04249,,,
133.86,0.04254,,,
133.96,0.04259,,,
134.16,0.04265,,,
134.29,0.0427,,,
134.77,0.04275,,,
134.94,0.0428,,,
135.11,0.04284,,,
135.26,0.04289,,,
135.37,0.04294,,,
135.61,0.04299,,,
135.74,0.04304,,,
135.86,0.04309,,,
135.99,0.04313,,,
136.18,0.04318,,,
136.36,0.04323,,,
136.56,0.04328,,,
136.71,0.04332,,,
136.96,0.04337,,,
137.09,0.04342,,,
137.18,0.04346,,,
137.41,0.04351,,,
137.54,0.04355,,,
137.64,0.0436,,,
137.98,0.04365,,,
138.14,0.0437,,,
138.31,0.04375,,,
138.39,0.0438,,,
138.68,0.04384,,,
138.81,0.04389,,,
139.06,0.04394,,,
139.18,0.04399,,,
139.38,0.04403,,,
139.58,0.04408,,,
139.76,0.04413,,,
139.85,0.04418,,,
140.1,0.04423,,,
140.23,0.04428,,,
140.38,0.04433,,,
140.56,0.04438,,,
141,0.04443,,,
141.11,0.04448,,,
141.33,0.04454,,,
141.45,0.04459,,,
141.56,0.04464,,,
141.8,0.04469,,,
142.03,0.04475,,,
142.18,0.0448,,,
142.32,0.04485,,,
142.47,0.04491,,,
142.58,0.04496,,,
142.9,0.04501,,,
143.18,0.04507,,,
143.5,0.04512,,,
143.65,0.04518,,,
143.82,0.04523,,,
143.93,0.04528,,,
144.13,0.04534,,,
144.42,0.04539,,,
144.62,0.04544,,,
144.82,0.0455,,,
145.17,0.04555,,,
145.34,0.04561,,,
145.5,0.04566,,,
145.67,0.04571,,,
145.84,0.04577,,,
145.99,0.04582,,,
146.1,0.04587,,,
146.4,0.04593,,,
146.6,0.04598,,,
146.7,0.04603,,,
146.94,0.04608,,,
147.12,0.04613,,,
147.37,0.04618,,,
147.5,0.04623,,,
147.65,0.04628,,,
147.9,0.04633,,,
148.14,0.04638,,,
148.35,0.04642,,,
148.51,0.04647,,,
148.67,0.04652,,,
148.82,0.04657,,,
148.97,0.04662,,,
149.09,0.04666,,,
149.26,0.04671,,,
149.42,0.04676,,,
149.62,0.04681,,,
149.87,0.04686,,,
150.12,0.0469,,,
150.24,0.04695,,,
150.41,0.047,,,
150.52,0.04705,,,
150.72,0.0471,,,
150.91,0.04714,,,
151.07,0.04719,,,
151.37,0.04724,,,
151.56,0.04729,,,
151.64,0.04734,,,
151.84,0.04738,,,
151.98,0.04743,,,
152.16,0.04748,,,
152.31,0.04753,,,
152.46,0.04758,,,
152.64,0.04763,,,
152.88,0.04768,,,
152.98,0.04773,,,
153.13,0.04778,,,
153.43,0.04784,,,
153.56,0.04789,,,
153.69,0.04794,,,
153.88,0.04799,,,
154.01,0.04804,,,
154.41,0.04809,,,
154.53,0.04814,,,
154.98,0.04819,,,
155.16,0.04824,,,
155.48,0.0483,,,
155.7,0.04835,,,
155.85,0.0484,,,
155.98,0.04845,,,
156.21,0.0485,,,
156.43,0.04856,,,
156.56,0.04861,,,
156.8,0.04866,,,
156.91,0.04871,,,
157.05,0.04876,,,
157.26,0.04882,,,
157.46,0.04887,,,
157.55,0.04892,,,
157.78,0.04897,,,
157.91,0.04903,,,
158.15,0.04908,,,
158.38,0.04913,,,
158.55,0.04918,,,
158.8,0.04923,,,
158.97,0.04929,,,
159.12,0.04934,,,
159.33,0.04939,,,
159.48,0.04945,,,
159.7,0.0495,,,
160,0.04955,,,
160.15,0.0496,,,
160.32,0.04965,,,
160.55,0.0497,,,
160.7,0.04976,,,
160.83,0.04981,,,
161.07,0.04986,,,
161.3,0.04991,,,
161.62,0.04996,,,
161.72,0.05001,,,
161.89,0.05006,,,
162.05,0.05011,,,
162.19,0.05017,,,
162.57,0.05022,,,
162.75,0.05027,,,
162.94,0.05032,,,
163.1,0.05038,,,
163.34,0.05043,,,
163.64,0.05049,,,
163.8,0.05054,,,
163.95,0.0506,,,
164.07,0.05065,,,
164.42,0.05071,,,
164.64,0.05077,,,
164.77,0.05082,,,
164.97,0.05088,,,
165.14,0.05094,,,
165.34,0.05099,,,
165.47,0.05105,,,
165.71,0.0511,,,
165.97,0.05116,,,
166.14,0.05121,,,
166.29,0.05127,,,
166.67,0.05132,,,
166.84,0.05137,,,
166.96,0.05142,,,
167.11,0.05148,,,
167.32,0.05153,,,
167.51,0.05158,,,
167.69,0.05163,,,
168.01,0.05168,,,
168.13,0.05173,,,
168.34,0.05178,,,
168.76,0.05183,,,
168.89,0.05189,,,
169.19,0.05194,,,
169.51,0.05198,,,
169.63,0.05203,,,
169.76,0.05208,,,
169.91,0.05213,,,
170.09,0.05218,,,
170.33,0.05223,,,
170.54,0.05228,,,
170.69,0.05233,,,
170.83,0.05238,,,
171.1,0.05244,,,
171.28,0.05249,,,
171.4,0.05254,,,
171.55,0.05259,,,
171.7,0.05264,,,
171.85,0.05269,,,
171.93,0.05274,,,
172.1,0.05279,,,
172.36,0.05284,,,
172.55,0.0529,,,
172.65,0.05295,,,
172.85,0.053,,,
173.1,0.05305,,,
173.36,0.0531,,,
173.5,0.05315,,,
173.63,0.0532,,,
173.75,0.05325,,,
174,0.0533,,,
174.4,0.05335,,,
174.52,0.0534,,,
174.73,0.05345,,,
174.98,0.0535,,,
175.27,0.05355,,,
175.43,0.0536,,,
175.62,0.05365,,,
175.78,0.0537,,,
176.02,0.05376,,,
176.47,0.05381,,,
176.6,0.05386,,,
176.87,0.05391,,,
176.93,0.05396,,,
177.27,0.05402,,,
177.32,0.05407,,,
177.57,0.05412,,,
