x,y,type,temp,stress
226.7,2.1529,,,
227.05,2.1548,,,
227.5,2.1591,,,
228.02,2.1632,,,
228.3,2.166,,,
228.72,2.1698,,,
228.97,2.17,,,
229.47,2.1757,,,
230.17,2.1807,,,
230.62,2.1866,,,
231.02,2.1872,,,
231.56,2.1915,,,
231.84,2.1943,,,
232.47,2.1988,,,
232.94,2.2025,,,
233.38,2.2062,,,
233.68,2.2086,,,
234.13,2.2115,,,
234.41,2.214,,,
234.94,2.2194,,,
235.28,2.2213,,,
235.93,2.2269,,,
236.18,2.2285,,,
236.43,2.2299,,,
236.71,2.2326,,,
237.03,2.2361,,,
237.35,2.2375,,,
238.08,2.2428,,,
238.38,2.2464,,,
238.92,2.2499,,,
239.38,2.2542,,,
239.83,2.2573,,,
240.42,2.2616,,,
241.03,2.2663,,,
241.42,2.2694,,,
241.72,2.2725,,,
242.07,2.2754,,,
242.47,2.2781,,,
243.09,2.2834,,,
243.62,2.2863,,,
244.02,2.2896,,,
244.52,2.294,,,
244.77,2.2958,,,
245.26,2.2997,,,
245.62,2.3031,,,
245.96,2.3048,,,
246.49,2.3101,,,
246.87,2.3123,,,
247.39,2.3164,,,
247.96,2.3209,,,
248.31,2.3242,,,
248.63,2.3263,,,
249.18,2.3308,,,
249.54,2.332,,,
249.96,2.3372,,,
250.28,2.3385,,,
250.59,2.3421,,,
251.2,2.3464,,,
251.5,2.3487,,,
251.93,2.3516,,,
252.48,2.3574,,,
253.11,2.3605,,,
253.68,2.3666,,,
254.3,2.3696,,,
254.82,2.3746,,,
255.45,2.3797,,,
255.73,2.3821,,,
256.4,2.387,,,
256.92,2.3904,,,
257.32,2.3943,,,
257.82,2.3971,,,
258.1,2.3996,,,
258.57,2.403,,,
259.14,2.4076,,,
259.49,2.4107,,,
259.84,2.4125,,,
260.14,2.4144,,,
260.59,2.4176,,,
260.97,2.4205,,,
261.39,2.4233,,,
261.89,2.4276,,,
262.47,2.432,,,
262.73,2.4345,,,
263.03,2.4369,,,
263.41,2.4406,,,
263.88,2.4434,,,
264.51,2.449,,,
265.09,2.4522,,,
265.64,2.457,,,
265.93,2.4599,,,
266.18,2.462,,,
266.53,2.4643,,,
267.03,2.4684,,,
267.48,2.4721,,,
267.91,2.4746,,,
268.41,2.479,,,
268.77,2.4808,,,
269.27,2.485,,,
269.62,2.4878,,,
270,2.4909,,,
270.43,2.4934,,,
270.78,2.4964,,,
271.42,2.5018,,,
272.1,2.5066,,,
272.54,2.5096,,,
273.05,2.515,,,
273.55,2.5189,,,
273.8,2.5198,,,
274.34,2.5228,,,
274.62,2.5257,,,
275.29,2.5317,,,
275.92,2.5378,,,
276.41,2.5416,,,
276.77,2.5442,,,
277.39,2.55,,,
277.66,2.5524,,,
278.04,2.5543,,,
278.31,2.5544,,,
278.59,2.558,,,
278.84,2.559,,,
279.21,2.5616,,,
279.94,2.5667,,,
280.24,2.5692,,,
280.61,2.5718,,,
280.91,2.5745,,,
